Document Number,Document Title,Document Date,Cancelled/Superceding Document,Cancelled/Superceding Date
FED-STD-141/4273,Penetration (Cone or Needle),1-Sep-1965,ASTM-D5-NEEDLE,Superceding Date: 22-Mar-2001
FED-STD-141/4272.1,Viscosity of Cellulose Derivatives by Ball-Drop Method,24-Jan-1986,ASTM-D1343,Superceding Date: 22-Mar-2001
FED-STD-101/209,"Superimposed-Load Test (Stackability, With Dunnage)",15-Jan-1962,FED-STD-101/5016,Superceding Date: 15-Jan-1969
FED-STD-101/2062,Tensile Strength (Breaking Strength) and Elongation of Press,13-Mar-1980,ASTM-D3759,Superceding Date: 29-May-1996
FED-STD-101/2061,Tensile Strength (Breaking Strength) and Elongation of Filam,13-Mar-1980,ASTM-D3759,Superceding Date: 29-May-1996
FED-STD-101/2058,"Strength of Tape Backing, Diaphragm Bursting Method",13-Mar-1980,ASTM-D3662,Superceding Date: 29-May-1996
FED-STD-101/2055,Holding Power Test for Filament (Lineally and Multi-Directio,13-Mar-1980,ASTM-D3654,Superceding Date: 29-May-1996
FED-STD-101/2054,Holding Power of Pressure Sensitive Tapes,13-Mar-1980,ASTM-D3654,Superceding Date: 29-May-1996
FED-STD-101/2053,Curling and Twisting On Unwind of Pressure Sensitive Tapes,13-Mar-1980,ASTM-D3813,Superceding Date: 29-May-1996
FED-STD-101/2051,Adhesion of Pressure Sensitive Tapes to Paper At Low Tempera,13-Mar-1980,ASTM-D3889,Superceding Date: 29-May-1996
FED-STD-101/2050,Adhesion of Pressure Sensitive Tapes,13-Mar-1980,ASTM-D3330,Superceding Date: 29-May-1996
FED-STD-101/290,Cleanliness,14-Feb-1966,FED-STD-101/4004,Superceding Date: 15-Jan-1969
FED-STD-101/289,Brushing Properties,14-Feb-1966,FED-STD-101/4003,Superceding Date: 15-Jan-1969
FED-STD-101/288,Boiling Nitric Acid Test,14-Feb-1966,FED-STD-101/6009,Superceding Date: 15-Jan-1969
FED-STD-101/287,Abrasion Test,14-Feb-1966,FED-STD-101/4001,Superceding Date: 15-Jan-1969
FED-STD-101/286,Water Vapor Permeability Test of Packaging Materials (Water,5-Apr-1965,FED-STD-101/3030,Superceding Date: 15-Jan-1969
FED-STD-101/285,Water Resistance of Markings,5-Apr-1965,FED-STD-101/3027,Superceding Date: 15-Jan-1969
FED-STD-101/284,Water Absorption Test Plastics (Other Than Cushioning Materi,5-Apr-1965,FED-STD-101/4036,Superceding Date: 15-Jan-1969
FED-STD-101/283,Water Absorption by Cushioning Materials,5-Apr-1965,FED-STD-101/4035,Superceding Date: 15-Jan-1969
FED-STD-101/282,Visual Examination for Transparency for Opacity,5-Apr-1965,FED-STD-101/4034,Superceding Date: 15-Jan-1969
FED-STD-101/281,"Visual Examination for Color, Color Fastness, and Gloss",5-Apr-1965,FED-STD-101/4033,Superceding Date: 15-Jan-1969
FED-STD-101/280,Viscosity Test,5-Apr-1965,FED-STD-101/4032,Superceding Date: 15-Jan-1969
FED-STD-101/279,Vibration (Sinusoidal Motion) Test,5-Apr-1965,FED-STD-101/5020,Superceding Date: 15-Jan-1969
FED-STD-101/278,Vibration (Repetitive Shock) Test,5-Apr-1965,FED-STD-101/5019,Superceding Date: 15-Jan-1969
FED-STD-101/277,Total Luminous Transmittance,5-Apr-1965,FED-STD-101/4045,Superceding Date: 15-Jan-1969
FED-STD-101/276,Thermal Shock Test,5-Apr-1965,FED-STD-101/4044,Superceding Date: 15-Jan-1969
FED-STD-101/275,Test for Quality of Glue Applications,5-Apr-1965,FED-STD-101/4042,Superceding Date: 15-Jan-1969
FED-STD-101/274,Submersion Test of Materials for Absorption of Liquid and Di,5-Apr-1965,FED-STD-101/3025,Superceding Date: 15-Jan-1969
FED-STD-101/273,Strippability of Coating Materials,5-Apr-1965,FED-STD-101/4041,Superceding Date: 15-Jan-1969
FED-STD-101/272,Specular Gloss,5-Apr-1965,FED-STD-101/4038,Superceding Date: 15-Jan-1969
FED-STD-101/271,Solubility of Solid Substances in Water and Organic Solvents,5-Apr-1965,FED-STD-101/4037,Superceding Date: 15-Jan-1969
FED-STD-101/270,Resistance of Sheet Materials to Penetration by Water,5-Apr-1965,FED-STD-101/3022,Superceding Date: 15-Jan-1969
FED-STD-101/269,Resistance of the Coating of Steel Shipping Pails to Liquids,5-Apr-1965,FED-STD-101/3023,Superceding Date: 15-Jan-1969
FED-STD-101/268,Resistance to Boiling Water,5-Apr-1965,FED-STD-101/3024,Superceding Date: 15-Jan-1969
FED-STD-101/267,Reflectance,5-Apr-1965,FED-STD-101/4025,Superceding Date: 15-Jan-1969
FED-STD-101/266,Rate of Penetration of Packaging Materials by Water,5-Apr-1965,FED-STD-101/3019,Superceding Date: 15-Jan-1969
FED-STD-101/265,Plywood Glue Shear Test,5-Apr-1965,FED-STD-101/2030,Superceding Date: 15-Jan-1969
FED-STD-101/264,Penetration of Packaging Materials by Water,5-Apr-1965,FED-STD-101/5026,Superceding Date: 15-Jan-1969
FED-STD-101/263,Opacity,5-Apr-1965,FED-STD-101/4020,Superceding Date: 15-Jan-1969
FED-STD-101/262,Oil Transmission Test for Packaging Materials,5-Apr-1965,FED-STD-101/3017,Superceding Date: 15-Jan-1969
FED-STD-101/261,Oil Resistance of Pressure-Sensitive Tapes,5-Apr-1965,FED-STD-101/3016,Superceding Date: 15-Jan-1969
FED-STD-101/260,Oil Resistance of Heat-Sealable Films and Barriers,5-Apr-1965,FED-STD-101/3015,Superceding Date: 15-Jan-1969
FED-STD-101/259,Heat-Sealed Seam Test,5-Apr-1965,FED-STD-101/2024,Superceding Date: 15-Jan-1969
FED-STD-101/258,Examination for Water Resistance of Packaging Materials (Ply,5-Apr-1965,FED-STD-101/3028,Superceding Date: 15-Jan-1970
FED-STD-101/257,Dustiness,5-Apr-1965,FED-STD-101/4011,Superceding Date: 15-Jan-1969
FED-STD-101/256,Color Test for Humidity Indicators,5-Apr-1965,FED-STD-101/4006,Superceding Date: 15-Jan-1969
FED-STD-101/255,Adhesive Shear Test of Glued Lap Joints in Packaging Materia,5-Apr-1965,FED-STD-101/2002,Superceding Date: 15-Jan-1969
FED-STD-101/254,Adsorption of Water Vapor and Dimensional Change in Packagin,5-Apr-1965,FED-STD-101/3001,Superceding Date: 15-Jan-1969
FED-STD-101/253,"Adsorption (Penetration) Test of Ink, Paint, Etc",5-Apr-1965,FED-STD-101/6001,Superceding Date: 15-Jan-1969
FED-STD-101/252,Water Vapor Permeability of Containers or Packages,9-Mar-1964,FED-STD-101/5021,Superceding Date: 15-Jan-1969
FED-STD-101/251,Silver-Tarnishing Test,9-Mar-1964,FED-STD-101/6019,Superceding Date: 15-Jan-1969
FED-STD-101/250,Bursting Strength of Sheet Materials,9-Mar-1964,FED-STD-101/2007,Superceding Date: 15-Jan-1969
FED-STD-101/249,Fiber Identification and Content,9-Mar-1964,FED-STD-101/6013,Superceding Date: 15-Jan-1969
FED-STD-101/248,"Tensile Breaking Strength and Elongation of Cloth, Coated Cl",9-Mar-1964,FED-STD-101/2037,Superceding Date: 15-Jan-1969
FED-STD-101/247,"Tensile Breaking Strength and Elongation of Thread, Twine,",9-Mar-1964,FED-STD-101/2039,Superceding Date: 15-Jan-1969
FED-STD-101/246,Tensile Breaking Strength and Elongation of Paper and Paperb,9-Mar-1964,FED-STD-101/2038,Superceding Date: 15-Jan-1969
FED-STD-101/245,Tensile Properties of Plastics,9-Mar-1964,FED-STD-101/2040,Superceding Date: 15-Jan-1969
FED-STD-101/244,Bending Test of Packaging Materials,9-Mar-1964,FED-STD-101/2003,Superceding Date: 15-Jan-1969
FED-STD-101/243,Revolving Hexagonal Drum Test,9-Mar-1964,FED-STD-101/5013,Superceding Date: 15-Jan-1969
FED-STD-101/242,Folding Endurance Test,9-Mar-1964,FED-STD-101/2023,Superceding Date: 15-Jan-1969
FED-STD-101/241.1,Leaks in Containers,12-Oct-1967,FED-STD-101/5009,Superceding Date: 15-Jan-1969
FED-STD-101/160,"Self Adhesion of Barrier Material, Greaseproofed, Flexible",21-Oct-1959,FED-STD-101/2001,Superceding Date: 15-Jan-1969
FED-STD-101/158,"Vibration, Resistance to Low Temperature, Of Barrier Materia",21-Oct-1959,FED-STD-101/2049,Superceding Date: 15-Jan-1969
FED-STD-101/157,"Scale Removal Test for Drums, Steel",21-Oct-1959,FED-STD-101/6012,Superceding Date: 15-Jan-1969
FED-STD-101/155,"Plasticity of Compound, Preservative, Strippable",21-Oct-1959,FED-STD-101/2029,Superceding Date: 15-Jan-1969
FED-STD-101/144,Copper Content of Paper,21-Oct-1959,FED-STD-101/6010,Superceding Date: 15-Jan-1969
FED-STD-101/135,Adsorption Rate of Activated Desiccants in Bags,21-Oct-1959,FED-STD-101/6004,Superceding Date: 15-Jan-1969
FED-STD-101/134,Particle Size of Desiccants,21-Oct-1959,FED-STD-101/4030,Superceding Date: 15-Jan-1969
FED-STD-101/133,Particle Strength of Desiccants (Activated) for Dynamic,21-Oct-1959,FED-STD-101/4040,Superceding Date: 15-Jan-1969
FED-STD-101/131,Humidity Control by Activated Desiccants in B,21-Oct-1959,FED-STD-101/4015,Superceding Date: 15-Jan-1969
FED-STD-101/128,"Unit Weight and Adsorption Capacity of Desiccants, Activated",21-Oct-1959,FED-STD-101/6003,Superceding Date: 15-Jan-1969
FED-STD-101/127,Volume of Desiccant Unit,21-Oct-1959,FED-STD-101/6023,Superceding Date: 15-Jan-1969
FED-STD-101/125,"Chemical Resistance of Bottles and Carboys, Polyethylene",21-Oct-1959,FED-STD-101/3021,Superceding Date: 15-Jan-1969
FED-STD-101/112,Puncture Resistance of Barrier Material,21-Oct-1959,FED-STD-101/2031,Superceding Date: 15-Jan-1969
FED-STD-101/107,"Unrolling Properties: Tape, Pressure Sensitive, Waterproof",21-Oct-1959,FED-STD-101/2048,Superceding Date: 15-Jan-1969
FED-STD-101/106,"Water Run-Off: Paper, Asphalt Impregnated",21-Oct-1959,FED-STD-101/3029,Superceding Date: 15-Jan-1969
FED-STD-66D,Steel: Chemical Composition and Hardenability,8-Mar-1979,SAE-AMS-STD-66,Superceding Date: 16-Feb-2001
FED-STD-56,"Beans, Dry",23-Mar-1954,JJJ-B-106,Superceding Date: 29-May-1975
FED-STD-54D,"Pad, Writing Paper",7-Aug-1963,UU-P-21,Superceding Date: 19-Oct-1973
FED-STD-53F,"Paper, Bond and Writing, White and Colored",21-Nov-1962,UU-P-121,Superceding Date: 20-Nov-1968
FED-STD-48B,"Tolerances for Steel Wrought Products, and for Centrifugally",31-Dec-1970,ASTM-A6,Superceding Date: 27-Jan-1994
FED-STD-47A,"Chair, Easy, Executive Office",4-Dec-1961,FED-STD-38,Superceding Date: 29-Nov-1968
FED-STD-0041C,"Desks, Flat Top and Typewriter; Wood",23-Oct-1963,FED-STD-35,Superceding Date: 1-Dec-1966
FED-STD-40A,"Davenport, Executive Office",5-Dec-1961,FED-STD-243,Superceding Date: 29-Nov-1968
FED-STD-38A,"Chairs, Wood, Executive Office",25-Sep-1961,FED-STD-243,Superceding Date: 29-Nov-1968
FED-STD-9F,"Tape, Paper, Computing-Machine",3-Sep-1963,UU-T-110,Superceding Date: 27-Feb-1973
FED-STD-7B,"Towels, Paper",12-Jan-1960,UU-T-591,Superceding Date: 19-Dec-1973
FED-STD-006C,"Paper, Toilet Tissue",9-Mar-1962,UU-P-556,Superceding Date: 19-Dec-1973
FED-STD-6B,"Paper, Toilet Tissue",11-Aug-1960,UU-P-556,Superceding Date: 19-Dec-1973
FED-STD-1A,Standard for Laboratory Atmospheric Conditions for Testing,27-Apr-1972,ASTM E 171,"Cancelled Date: 6-Jul-1986 Superceding Date: 9-Apr-1986"
FED-STD-101/208,Penetration Test of Water Repellent Wood Preservative,15-Jan-1962,FED-STD-101/5027,Superceding Date: 15-Jan-1969
FED-STD-101/207,Ash Content of Liquid Samples,15-Jan-1962,FED-STD-101/6006,Superceding Date: 15-Jan-1969
FED-STD-101/206,Ash and Loss On Ignition of Solid Materials,15-Jan-1962,FED-STD-101/6005,Superceding Date: 15-Jan-1969
FED-STD-101/205,Moisture Content of Paper and Paperboard,15-Jan-1962,FED-STD-101/5024,Superceding Date: 15-Jan-1969
FED-STD-101/204,Basic Weight of Paper and Paperboard,15-Jan-1962,FED-STD-101/5022,Superceding Date: 15-Jan-1969
FED-STD-101/192,"Effect On Cobalt Chloride of Compound, Corrosion-Preventive",21-Oct-1959,FED-STD-101/3009,Superceding Date: 15-Jan-1969
FED-STD-101/187,Window Mounting Suitability in Barrier Material,21-Oct-1959,FED-STD-101/3018,Superceding Date: 15-Jan-1969
FED-STD-101/185,Thermal Conductivity of Felt Cushioning Material,21-Oct-1959,FED-STD-101/4043,Superceding Date: 15-Jan-1969
FED-STD-101/183,"Curl Resistance of Barrier Material, Greaseproofed, Flexible",21-Oct-1959,FED-STD-101/2015,Superceding Date: 15-Jan-1969
FED-STD-101/177,"Foaming Action of Metal Conditioner, and Rust Remover (Phosp",21-Oct-1959,FED-STD-101/4013,Superceding Date: 15-Jan-1969
FED-STD-101/174,"Opacity Density of Tape, Pressure Sensitive Adhesive, Vinyl",21-Oct-1959,FED-STD-101/4019,Superceding Date: 15-Jan-1969
FED-STD-101/173,Gasket Performance (Leakage and Secureness) of Barrier Mater,21-Oct-1959,FED-STD-101/4024,Superceding Date: 15-Jan-1969
FED-STD-101/170,"Melt Index of Bottle and Carboys, Polyethylene",21-Oct-1959,FED-STD-101/2022,Superceding Date: 15-Jan-1969
FED-STD-101/168,"Non Conductor Test of Drums, Steel, Rubber Lined",21-Oct-1959,FED-STD-101/5004,Superceding Date: 15-Jan-1969
FED-STD-101/167,"Exudation of Compound, Protective, Strippable, Hot Dipping",21-Oct-1959,FED-STD-101/3013,Superceding Date: 15-Jan-1969
FED-STD-101/165,"Creep Resistance of Tape, Pressure Sensitive, Vinyl Plastic",21-Oct-1959,FED-STD-101/2014,Superceding Date: 15-Jan-1969
FED-STD-101/163,"Etching Action of Metal Conditioner, and Rust Removal, Phosp",21-Oct-1959,FED-STD-101/3011,Superceding Date: 15-Jan-1969
FED-STD-101/162,"Bridging Ability of Coating System Bridging, Strippable, Spr",21-Oct-1959,FED-STD-101/2004,Superceding Date: 15-Jan-1969
FED-STD-101/2046.1,Tensile Tear Test of Plastic Film and Thin Sheet,13-Mar-1980,ASTM-D1004,Superceding Date: 29-May-1996
FED-STD-101/2036.1,Tearing Resistance (Elmendorf),13-Mar-1980,TAPPI-T414,Superceding Date: 29-May-1996
FED-STD-101/2033,Short Column Test of Corrugated Fiberboard in the Cross Mach,13-Mar-1980,ASTM-D2808,Superceding Date: 29-May-1996
FED-STD-101/2017.1,Flexing Procedure for Barrier Materials,14-Oct-1988,ASTM-F392,Superceding Date: 19-May-1998
FED-STD-101/2013.1,Creep Properties of Package Cushioning Materials Under Compr,13-Mar-1980,ASTM-D2221,Superceding Date: 29-May-1996
FED-STD-101/1004,Thickness of Tapes,13-Mar-1980,ASTM-D3652,Superceding Date: 29-May-1996
FED-STD-101/1003.2,Thickness Measurements of Nonrigid Specimens,8-Oct-1982,TAPPI-T411,Superceding Date: 19-May-1998
FED-STD-101C/GEN,Test Procedures for Packaging Material,13-Mar-1980,MIL-STD-3010,Superceding Date: 30-Dec-2002
FED-STD-101/333,Workability of Coating Material After Application,14-Feb-1966,FED-STD-101/3031,Superceding Date: 15-Jan-1969
FED-STD-101/332,Thickness Measurements of Nonrigid Specimens,14-Feb-1966,FED-STD-101/1003,Superceding Date: 15-Jan-1969
FED-STD-101/331,Test for Weight of Phosphate Coating,14-Feb-1966,FED-STD-101/6022,Superceding Date: 15-Jan-1969
FED-STD-101/329,Test for Crazing Caused by Protective Organic Coatings,14-Feb-1966,FED-STD-101/3026,Superceding Date: 15-Jan-1969
FED-STD-101/328,Tensile Tear Test of Plastic Film and Thin Sheet,14-Feb-1966,FED-STD-101/2046,Superceding Date: 15-Jan-1969
FED-STD-101/327,Tearing Resistance (Elmendorf),14-Feb-1966,FED-STD-101/2036,Superceding Date: 15-Jan-1969
FED-STD-101/326,Stiffness (Bending Resistance) of Wrapping Metal,14-Feb-1966,FED-STD-101/2035,Superceding Date: 15-Jan-1969
FED-STD-101/325,Sprayability and Delivery Rate,14-Feb-1966,FED-STD-101/4039,Superceding Date: 15-Jan-1969
FED-STD-101/324,Sizing (Rosin) in Paper and Paperboard,14-Feb-1966,FED-STD-101/6020,Superceding Date: 15-Jan-1969
FED-STD-101/323,Self-Heating,14-Feb-1966,FED-STD-101/4027,Superceding Date: 15-Jan-1969
FED-STD-101/322,Salt Spray Test,14-Feb-1966,FED-STD-101/4026,Superceding Date: 15-Jan-1969
FED-STD-101/321,"Puncture Resistance (Beach, or G.E., Test)",14-Feb-1966,FED-STD-101/2032,Superceding Date: 15-Jan-1969
FED-STD-101/320,Polariscopic Examination for Annealing of Glass,14-Feb-1966,FED-STD-101/4023,Superceding Date: 15-Jan-1969
FED-STD-101/319,Moisture Content of Wood,14-Feb-1966,FED-STD-101/5025,Superceding Date: 15-Jan-1969
FED-STD-101/318,Moisture Content of Desiccant,14-Feb-1966,FED-STD-101/6014,Superceding Date: 15-Jan-1969
FED-STD-101/317,Melting Point of Wax,14-Feb-1966,FED-STD-101/4017,Superceding Date: 15-Jan-1969
FED-STD-101/316,Measurement of Length and Width of Specimens of Cushioning,14-Feb-1966,FED-STD-101/1002,Superceding Date: 15-Jan-1969
FED-STD-101/315,Marking Characteristics of Ink,14-Feb-1966,FED-STD-101/4016,Superceding Date: 15-Jan-1969
FED-STD-101/314,Liquid Capacity and Outage of Containers For Liquids,14-Feb-1966,FED-STD-101/5010,Superceding Date: 15-Jan-1969
FED-STD-101/313,Impact Puncture Resistance of Films and Barriers,14-Feb-1966,FED-STD-101/2025,Superceding Date: 15-Jan-1969
FED-STD-101/312,"Flexural Properties of Wood-Base Fiber and Paveneer, Plywood",14-Feb-1966,FED-STD-101/2021,Superceding Date: 15-Jan-1969
FED-STD-101/311,"Flexural Properties of Veneer Paper-Overlaid Veneer, Plywood",14-Feb-1966,FED-STD-101/2020,Superceding Date: 15-Jan-1969
FED-STD-101/310,Flexural Properties of Plastics,14-Feb-1966,FED-STD-101/2019,Superceding Date: 15-Jan-1969
FED-STD-101/309,Flexural Properties of Corrugated Paperboard,14-Feb-1966,FED-STD-101/2018,Superceding Date: 15-Jan-1969
FED-STD-101/308,Flexing Procedure for Barrier Materials,14-Feb-1966,FED-STD-101/2017,Superceding Date: 15-Jan-1969
FED-STD-101/307,Flash and Fire Point Tests (Flammability),14-Feb-1966,FED-STD-101/4012,Superceding Date: 15-Jan-1969
FED-STD-101/306,Flame and Glow Resistance,14-Feb-1966,FED-STD-101/3014,Superceding Date: 15-Jan-1969
FED-STD-101/305,Effect of Protective Coatings On Painted Surfaces,14-Feb-1966,FED-STD-101/3010,Superceding Date: 15-Jan-1969
FED-STD-101/304,Ductility (Cupping),14-Feb-1966,FED-STD-101/2016,Superceding Date: 15-Jan-1969
FED-STD-101/303,Dielectric Constant and Dissipation Factor,14-Feb-1966,FED-STD-101/4009,Superceding Date: 15-Jan-1969
FED-STD-101/302,Dent Resistance,14-Feb-1966,FED-STD-101/5006,Superceding Date: 15-Jan-1969
FED-STD-101/301,Density and Specific Gravity,14-Feb-1966,FED-STD-101/4008,Superceding Date: 15-Jan-1969
FED-STD-101/300,Creep Properties of Package Cushioning Materials Under Compr,14-Feb-1966,FED-STD-101/2013,Superceding Date: 15-Jan-1969
FED-STD-101/299,Corrosion Test of Container Components,14-Feb-1966,FED-STD-101/3007,Superceding Date: 15-Jan-1969
FED-STD-101/298,Conditioning (Environments and Exposures),14-Feb-1966,FED-STD-101/4007,Superceding Date: 15-Jan-1969
FED-STD-101/297,Compressive Properties of Rigid Plastics,14-Feb-1966,FED-STD-101/2012,Superceding Date: 15-Jan-1969
FED-STD-101/296,Compressive Force-Displacement Characteristics of Cushioning,14-Feb-1966,FED-STD-101/2011,Superceding Date: 15-Jan-1969
FED-STD-101/295,Compression Test for Shipping Containers,14-Feb-1966,FED-STD-101/5003,Superceding Date: 15-Jan-1969
FED-STD-101/294,Compression Set After Cycling,14-Feb-1966,FED-STD-101/2010,Superceding Date: 15-Jan-1969
FED-STD-101/293,Compression Set After Constant Deformation,14-Feb-1966,FED-STD-101/2009,Superceding Date: 15-Jan-1969
FED-STD-101/292,Compressibility and Recovery Test for Gasket Material,14-Feb-1966,FED-STD-101/2008,Superceding Date: 15-Jan-1969
FED-STD-101/291,Coefficients of Friction of Film (Slip),14-Feb-1966,FED-STD-101/4005,Superceding Date: 15-Jan-1969
FED-STD-101/240,Rollover Test,9-Mar-1964,FED-STD-101/5014,Superceding Date: 15-Jan-1969
FED-STD-101/239,Shipping Test,9-Mar-1964,FED-STD-101/5015,Superceding Date: 15-Jan-1969
FED-STD-101/238,Fit of Covers On Telescope-Style Containers,9-Mar-1964,FED-STD-101/1001,Superceding Date: 15-Jan-1969
FED-STD-101/237,Determination of Gaseous Oxygen in Sealed Packages,9-Mar-1964,FED-STD-101/6011,Superceding Date: 15-Jan-1969
FED-STD-101/236,Mechanical Handling Test,9-Mar-1964,FED-STD-101/5011,Superceding Date: 15-Jan-1969
FED-STD-101/235,Hardness,9-Mar-1964,FED-STD-101/4014,Superceding Date: 15-Jan-1969
FED-STD-101/234,Springback (Fold Retention),9-Mar-1964,FED-STD-101/2034,Superceding Date: 15-Jan-1969
FED-STD-101/233,Resistance of Packaging Materials to Fungi,29-Feb-1964,FED-STD-101/3020,Superceding Date: 15-Jan-1969
FED-STD-101/232,Paraffin in Paper (Wax Content),10-Jun-1963,FED-STD-101/6018,Superceding Date: 15-Jan-1969
FED-STD-101/231,Brittleness of Strippable Coating Compounds,10-Jun-1963,FED-STD-101/2006,Superceding Date: 15-Jan-1969
FED-STD-101/230,Brittleness of Nonstrippable Coatings (Knife Test),10-Jun-1963,FED-STD-101/2005,Superceding Date: 15-Jan-1969
FED-STD-101/229,Deterioration Resistance of Materials in Soil,10-Jun-1963,FED-STD-101/3008,Superceding Date: 15-Jan-1969
FED-STD-101/228,Tensile Strength and Ultimate Elongation of Soft Vulcanized,10-Jun-1963,FED-STD-101/2042,Superceding Date: 15-Jan-1969
FED-STD-101/227,Tensile Strength of Strapping (With or Without Joints),10-Jun-1963,FED-STD-101/2044,Superceding Date: 15-Jan-1969
FED-STD-101/226,"Tensile Strength, Yield Point, and Elongation of Sheet Steel",10-Jun-1963,FED-STD-101/2045,Superceding Date: 15-Jan-1969
FED-STD-101/225,Tensile Properties of Pressure-Sensitive Tapes,10-Jun-1963,FED-STD-101/2041,Superceding Date: 15-Jan-1969
FED-STD-101/224,Tensile Strength (Minimum) of Cushioning Material for Packag,10-Jun-1963,FED-STD-101/2043,Superceding Date: 15-Jan-1969
FED-STD-101/223,Blocking Resistance of Packaging Materials,10-Jun-1963,FED-STD-101/3003,Superceding Date: 15-Jan-1969
FED-STD-101/222,Drying Tine Test,10-Jun-1963,FED-STD-101/4010,Superceding Date: 15-Jan-1969
FED-STD-101/221,Nonvolatile Content Test,10-Jun-1963,FED-STD-101/6017,Superceding Date: 15-Jan-1969
FED-STD-101/220,Odor Test,10-Jun-1963,FED-STD-101/4018,Superceding Date: 15-Jan-1969
FED-STD-101/219,"Abrasive, Test for",10-Jun-1963,FED-STD-101/4002,Superceding Date: 15-Jan-1969
FED-STD-101/218,Torsion Test for Threads of Protective Caps and Plugs,10-Jun-1963,FED-STD-101/2047,Superceding Date: 15-Jan-1969
FED-STD-101/217,Assembly and Disassembly Test of Containers or Complete Pack,10-Jun-1963,FED-STD-101/5001,Superceding Date: 15-Jan-1969
FED-STD-101/216,Drop Test (Free Fall),10-Jun-1963,FED-STD-101/5007,Superceding Date: 15-Jan-1969
FED-STD-101/215,Tipover Test,15-Jan-1962,FED-STD-101/5018,Superceding Date: 15-Jan-1969
FED-STD-101/214,Cornerwise-Drop (Rotational) Test,15-Jan-1962,FED-STD-101/5005,Superceding Date: 15-Jan-1969
FED-STD-101/213,Edgewise-Drop (Rotational) Test,15-Jan-1962,FED-STD-101/5008,Superceding Date: 15-Jan-1969
FED-STD-101/212,Pendulum-Impact Test,15-Jan-1962,FED-STD-101/5012,Superceding Date: 15-Jan-1969
FED-STD-101/211,Incline-Impact Test,15-Jan-1962,FED-STD-101/5023,Superceding Date: 15-Jan-1969
FED-STD-101/210,"Superimposed-Load Test (Uniformly Distributed, Without Dunna",15-Jan-1962,FED-STD-101/5017,Superceding Date: 15-Jan-1969
ASTM-A702,"Steel Fence Post And Assemblies, Hot Wrought",1-Jan-1989,,
L-C-175,"Cellulose, Regenerated; sheet, Dental",23-May-1946,,
QPL-ZZ-T-381-7,"Tires, Pneumatic, Vehicular (Highway) (New and Retreaded)",1-Jul-1996,,
A-A-59768,"Pallet, Cargo, Intermodal, Associate",16-Mar-2005,,
A-A-52568A,"Table, Lithographic Layout: Tilt Top, Illuminated",3-May-2002,,
A-A-59543,"Screen, Halftone, Contact, for Photolithography",22-May-2000,,Cancelled Date: 14-Feb-2005
A-A-3133,"Filler, Two-Component Type (For Dents, Cracks, Small Holes,",24-Oct-1997,,
MMM-A-110B(1),"Adhesive, Asphalt, Cut-Back Type (for Asphalt and Vinyl Asbe",10-Jun-1974,,
A-A-54776,"Gage, Food Blemish, Veterinary",30-Nov-1992,,
A-A-53790,"Test Set, Electrosurgical Apparatus",30-Dec-1988,,Cancelled Date: 28-Oct-2008
A-A-50229,"Opaques, Photographic Film-Plate Retouching",30-Mar-1987,,
A-A-50755,Control Head Assembly Test Fixture,15-Oct-1986,,
QPL-W-L-314-5,Lights; Household,21-Sep-1973,,
QPL-F-F-310-3,"Filter, Air Conditioning: Viscous-Impingement and Dry Types",17-Aug-1976,,Cancelled Date: 9-Mar-1987
W-T-1553B,"Tape, Instrumentation Recording, Magnetic Oxide-Coated, 345",12-Aug-1996,,
QPL-W-R-001404,"Recorder-Reproducer, Sound (Portable, Battery Operated, Cass",9-Oct-1970,,Cancelled Date: 26-Apr-2007
QPL-W-R-00170,"Recorder-Reproducer, Sound (Portable, Battery Operated, Open",9-Oct-1970,,Cancelled Date: 27-Jun-1980
QPL-W-R-00168,"Recorder-Reproducer, Sound (Magnetic Tape Type)-Not1-10/9/70",9-Oct-1970,,Cancelled Date: 5-Feb-1973
QPL-W-A-00450-3,"Alarms Systems, Interior, Security, Components for",16-Jan-1974,,Cancelled Date: 15-May-1978
QPL-W-C-1684-1,"Cassettes, Magnetic Tape, Audio Recording (Twin Hub, Coplana",31-Oct-1985,,Cancelled Date: 30-Dec-1998
W-R-00170B,"Recorder-Reproducer, Sound (Portable, Battery Operated",29-Jan-1970,,Cancelled Date: 18-Dec-1986
W-R-00168B(2),"Recorder-Reproducer, Sound (Magnetic Tape Type)",27-Mar-1970,,Cancelled Date: 5-Feb-1973
W-A-450C,Components for Interior Alarm Systems,28-Aug-1990,,Cancelled Date: 15-May-1978
W-C-1684,"Cassettes, Magnetic Tape, Audio Recording (Twin-Hub, Coplana",4-Apr-1977,,Cancelled Date: 30-Dec-1998
A-A-59497/2,"Resistors, Variable, Nonwire Wound, Precision, Linear Motion",23-Feb-2000,,
A-A-59171,"Machining Center, Vertical, Double-Column, Single-Spindle, C",18-Sep-1998,,
QPL-TT-E-489-48,"Enamel, Alkyd, Gloss (For Exterior and Interior Surfaces) Lo",14-Jan-1998,,
GGG-M-125/5B,"Respirator Assembly, Half Mask, Air Filtering (for Metal Fum",14-Oct-1985,,
OO-W-00860E,"Washing Machine and Drying Tumblers, Household Laundry, Powe",20-May-1992,,
OO-W-860D,"Washing Machine and Drying Tumblers, Household Laundry, Powe",27-Apr-1977,,Cancelled Date: 16-Dec-1998
AA-P-2750,"Partition, Office, Portable, Fabric Covered, Curved and Stra",19-Sep-1989,,Cancelled Date: 16-Dec-1998
